metric,n_clusters,silhouette,calinski_harabasz,davies_bouldin,cluster_sizes,algorithm
Triglycerides_SingleLinkage,2,0.7866254433339055,336.08913909575216,0.13847075830991815,[4989   11],Single Linkage
Triglycerides_SingleLinkage,3,0.7773852498101597,229.108015131816,0.16714026765340595,[4985   11    4],Single Linkage
Triglycerides_AverageLinkage,2,0.7423822762908788,2508.919339225927,0.3179348651441781,[4891  109],Average Linkage
Triglycerides_CompleteLinkage,2,0.6969221627629146,8090.3185987208335,0.4884951857813641,[ 561 4439],Complete Linkage
Triglycerides_KMeans,2,0.6842700264941793,9813.608956770468,0.5469915696460955,[3954 1046],K-Means
Vitamin_D_SingleLinkage,2,0.6689819454169527,14.722499167893199,0.21074289889072734,[4999    1],Single Linkage
Systolic_BP_AverageLinkage,2,0.6668824764056475,44.011560093172946,0.24736002676056495,[4997    3],Average Linkage
Systolic_BP_SingleLinkage,2,0.6668824764056475,44.011560093172946,0.24736002676056495,[   3 4997],Single Linkage
WBC_SingleLinkage,2,0.6664398380127549,28.446276900287035,0.23140670945914107,[   2 4998],Single Linkage
Triglycerides_AverageLinkage,3,0.6644896615454698,9690.189074214506,0.4675779793618777,[ 109 1001 3890],Average Linkage
Triglycerides_CompleteLinkage,3,0.6634837835926264,5243.06766736755,0.43203548247312634,[ 509 4439   52],Complete Linkage
Creatinine_SingleLinkage,2,0.660562801493917,27.839074752856853,0.24617814572317237,[   2 4998],Single Linkage
WBC_SingleLinkage,3,0.6581640040407798,14.22599571234573,0.2129333281504855,[4998    1    1],Single Linkage
Systolic_BP_SingleLinkage,3,0.6558653190899038,22.03340417748179,0.2118544719206815,[4997    1    2],Single Linkage
BMI_SingleLinkage,2,0.6533091870649097,27.22633434905398,0.23713054458997504,[4998    2],Single Linkage
Platelets_SingleLinkage,2,0.6489117517274365,78.82884504800234,0.2535761173873354,[   6 4994],Single Linkage
Triglycerides_KMeans,3,0.6487833193610304,12950.694200372758,0.5361858804135587,[ 365 3257 1378],K-Means
LDL_Cholesterol_SingleLinkage,2,0.6473113922794428,26.01368864891337,0.270734928170263,[   2 4998],Single Linkage
LDL_Cholesterol_AverageLinkage,2,0.6473113922794428,26.01368864891337,0.270734928170263,[4998    2],Average Linkage
Creatinine_SingleLinkage,3,0.6472750518590114,13.930978698772048,0.21679812940074594,[4998    1    1],Single Linkage
HbA1c_SingleLinkage,2,0.6448358235901209,26.59384944009484,0.23837520068214102,[4998    2],Single Linkage
Pulse_SingleLinkage,2,0.6405556993868666,12.532652753203177,0.22614782168238276,[4999    1],Single Linkage
Total_Cholesterol_SingleLinkage,2,0.6342259019793617,12.31600965933831,0.2283687103335612,[4999    1],Single Linkage
Diastolic_BP_SingleLinkage,2,0.6282451412883856,11.898163259903086,0.23202810334323593,[4999    1],Single Linkage
LDL_Cholesterol_SingleLinkage,3,0.6260368688871206,13.034583622135344,0.2266661499932412,[4998    1    1],Single Linkage
Blood_Glucose_SingleLinkage,2,0.6245237382869887,35.66719705769479,0.23998463367700468,[4997    3],Single Linkage
Waist_Circumference_SingleLinkage,2,0.6204299070677869,22.85796593411239,0.245568426879975,[4998    2],Single Linkage
Platelets_SingleLinkage,3,0.6164993706395279,39.44784038534496,0.2568790825442036,[   5 4994    1],Single Linkage
HDL_Cholesterol_SingleLinkage,2,0.6156948961267694,22.752136824421697,0.2600775494097705,[   2 4998],Single Linkage
HbA1c_SingleLinkage,3,0.6127449213026251,24.83466303300794,0.23999875825605274,[4996    2    2],Single Linkage
Vitamin_D_SingleLinkage,3,0.6124513987659764,24.248161426276262,0.23793129306865168,[4996    1    3],Single Linkage
Pulse_AverageLinkage,2,0.6104827708374916,43.61561716591183,0.28052575195578944,[4996    4],Average Linkage
BMI_SingleLinkage,3,0.6071942426019891,35.71283781120863,0.3251053318784119,[   2    4 4994],Single Linkage
HDL_Cholesterol_SingleLinkage,3,0.6060017474991378,11.378550229576389,0.24140552901580384,[4998    1    1],Single Linkage
Pulse_SingleLinkage,3,0.5984263788326346,21.845458548708386,0.2526867253622443,[   3    1 4996],Single Linkage
Total_Cholesterol_SingleLinkage,3,0.5913412168093672,31.668461873311912,0.25662568771474464,[   5    1 4994],Single Linkage
Waist_Circumference_SingleLinkage,3,0.5850345606398881,26.21208094797271,0.3161140895290984,[4995    2    3],Single Linkage
Respiratory_Rate_KMeans,2,0.5822124996623835,10229.525710200778,0.5820689614469408,[2478 2522],K-Means
Respiratory_Rate_KMeans,3,0.5815501490588711,13698.811506615813,0.5308626820178272,[1530 1139 2331],K-Means
BUN_SingleLinkage,2,0.5787767360250292,29.509968745320897,0.27767576882209766,[   3 4997],Single Linkage
Creatinine_AverageLinkage,2,0.5736954981267589,271.0504519031513,0.33245188107787,[4971   29],Average Linkage
Age_KMeans,2,0.5670706974383869,10026.724328871422,0.5884902065557798,[2598 2402],K-Means
Blood_Glucose_SingleLinkage,3,0.5657365251727644,36.41849373079963,0.26098393018923766,[4993    3    4],Single Linkage
BUN_KMeans,2,0.5651150830075999,9676.140027059771,0.5888128082363069,[2425 2575],K-Means
BUN_SingleLinkage,3,0.5644923313360506,14.757844649774682,0.26598549697939405,[   2 4997    1],Single Linkage
Age_CompleteLinkage,2,0.5636444277882623,9693.467397360799,0.5810235233076094,[2794 2206],Complete Linkage
Age_AverageLinkage,2,0.5636444277882623,9693.467397360799,0.5810235233076094,[2794 2206],Average Linkage
BUN_AverageLinkage,2,0.5635974749816347,9589.847183976866,0.5895069968614597,[2572 2428],Average Linkage
HbA1c_KMeans,2,0.5634278383456255,9826.281472725757,0.5932264613936363,[2753 2247],K-Means
WBC_AverageLinkage,2,0.5633657569344165,275.87745236457897,0.34923124035861214,[4969   31],Average Linkage
Blood_Glucose_KMeans,2,0.5628553171625249,9435.395079097834,0.5909868822640549,[2507 2493],K-Means
Hemoglobin_SingleLinkage,2,0.5626914298546905,63.7059956253708,0.2806715002854788,[4993    7],Single Linkage
Vitamin_D_KMeans,2,0.5615045096831481,9427.094543521156,0.591995691238143,[2595 2405],K-Means
Systolic_BP_KMeans,2,0.559075095025951,9467.217938950416,0.5959505074803482,[2485 2515],K-Means
BMI_KMeans,2,0.5589547067959125,9340.361672575424,0.5928949528204132,[2406 2594],K-Means
HDL_Cholesterol_KMeans,2,0.5588663768266665,9400.205382891314,0.5956478951178281,[2545 2455],K-Means
HbA1c_KMeans,3,0.5573466414338016,13155.411472209345,0.5414334864118292,[2275 1586 1139],K-Means
Waist_Circumference_KMeans,2,0.5570722550331768,9057.194603817632,0.5982615186072499,[2528 2472],K-Means
LDL_Cholesterol_KMeans,2,0.5548886241197332,9013.324318917365,0.6036402197560209,[2484 2516],K-Means
Pulse_KMeans,2,0.5547201014660541,8909.045098368526,0.6047845224531473,[2493 2507],K-Means
Waist_Circumference_CompleteLinkage,2,0.554230720740215,8918.64917044018,0.5992902549996849,[2294 2706],Complete Linkage
Creatinine_KMeans,2,0.5532369520740372,8813.995651613033,0.6045835616257433,[2440 2560],K-Means
Creatinine_CompleteLinkage,2,0.5532369520740372,8813.995651613033,0.6045835616257433,[2440 2560],Complete Linkage
LDL_Cholesterol_CompleteLinkage,2,0.5532163806964329,8967.79206113944,0.6039712180018764,[2414 2586],Complete Linkage
Hemoglobin_KMeans,2,0.5528501509183338,9141.674032044264,0.6065276158729094,[2332 2668],K-Means
Hemoglobin_CompleteLinkage,2,0.5514593589924449,9129.157857092872,0.6077133990469231,[2531 2469],Complete Linkage
HbA1c_AverageLinkage,2,0.5514216072088639,9012.948080012942,0.5902638413265437,[1833 3167],Average Linkage
Platelets_KMeans,2,0.5511101643064165,8768.962352745773,0.6083841946554261,[2493 2507],K-Means
Total_Cholesterol_KMeans,2,0.551104035900654,8960.499936810244,0.6061221536565116,[2573 2427],K-Means
WBC_KMeans,2,0.5510830382609028,8672.683779916457,0.6106565738030297,[2626 2374],K-Means
WBC_CompleteLinkage,2,0.5510830382609028,8672.683779916457,0.6106565738030297,[2374 2626],Complete Linkage
Diastolic_BP_KMeans,2,0.5510140758137723,8895.807744802527,0.604868365170476,[2495 2505],K-Means
Platelets_CompleteLinkage,2,0.5500155576621668,8723.935314246568,0.6088003971491488,[2340 2660],Complete Linkage
Total_Cholesterol + LDL_Cholesterol + HDL_Cholesterol + Triglycerides,2,0.5473760485228392,8.384240773384102,0.3214439234221205,[4999    1],Single Linkage
Age_KMeans,3,0.5459127720067618,12970.739614269653,0.5543882191291403,[1603 1248 2149],K-Means
Systolic_BP_KMeans,3,0.5434109482782628,12114.672471683192,0.549012528985149,[2255 1356 1389],K-Means
Blood_Glucose_CompleteLinkage,2,0.5409188646330101,8211.633854918264,0.5886170097193968,[1744 3256],Complete Linkage
Total_Cholesterol_KMeans,3,0.5401465916834449,11453.291539020356,0.5551481700187333,[1428 1288 2284],K-Means
Diastolic_BP_KMeans,3,0.5401366265271674,11280.2644935745,0.559170204564199,[1373 1404 2223],K-Means
Hemoglobin_KMeans,3,0.5396575567028391,11863.94410769961,0.5545163533958293,[2284 1309 1407],K-Means
Platelets_KMeans,3,0.5368665347255647,10932.709511250725,0.5581851124657656,[1508 1190 2302],K-Means
Diastolic_BP_AverageLinkage,2,0.5367056274905817,7903.08794668431,0.6009138428449572,[3188 1812],Average Linkage
LDL_Cholesterol_KMeans,3,0.5357100272504917,11181.330384087541,0.5629085547010394,[2303 1475 1222],K-Means
HDL_Cholesterol_KMeans,3,0.5351094733428076,11717.17639776811,0.5589222237740018,[2273 1419 1308],K-Means
BMI_KMeans,3,0.5347544398779664,11506.091507715772,0.5621766300217464,[1458 1351 2191],K-Means
Total_Cholesterol_CompleteLinkage,2,0.5346684837238025,7682.258689038455,0.5893635625554088,[1665 3335],Complete Linkage
Age_AverageLinkage,3,0.5343705804876219,11357.931443942765,0.5442790613399436,[2206  868 1926],Average Linkage
Age_CompleteLinkage,3,0.5343705804876219,11357.931443942765,0.5442790613399436,[2206  868 1926],Complete Linkage
Hemoglobin_AverageLinkage,3,0.5342275145682953,11367.036348363092,0.5496443325297545,[ 975 1488 2537],Average Linkage
Vitamin_D_KMeans,3,0.5339873423754581,11589.96931600891,0.5586950839945971,[1371 1392 2237],K-Means
Blood_Glucose_KMeans,3,0.5329902347313793,11535.27437510115,0.5637908435489555,[2226 1450 1324],K-Means
Waist_Circumference_KMeans,3,0.5327413122634842,11030.252116945048,0.5613860616653188,[2275 1429 1296],K-Means
Pulse_KMeans,3,0.5325467822526992,10925.619918974977,0.5612719344537315,[2319 1252 1429],K-Means
Diastolic_BP_CompleteLinkage,3,0.5323788181961171,10889.939360919065,0.5503643462708475,[1113 1284 2603],Complete Linkage
Total_Cholesterol_AverageLinkage,2,0.5320514081904758,334.7439367729541,0.3608806553578645,[4958   42],Average Linkage
BUN_KMeans,3,0.531596461086888,11854.550126453798,0.5648147344226602,[1568 2174 1258],K-Means
WBC_KMeans,3,0.530502482500897,10716.64531296023,0.5621779662015334,[2398 1256 1346],K-Means
Creatinine_KMeans,3,0.5304597903770116,10773.164282392358,0.565606248055327,[2280 1306 1414],K-Means
Vitamin_D_AverageLinkage,2,0.5292733547611908,452.4858250324003,0.384567126618155,[4943   57],Average Linkage
BMI_CompleteLinkage,2,0.5288850063391827,7330.241801479097,0.5807721978634819,[1502 3498],Complete Linkage
Blood_Glucose_AverageLinkage,2,0.5267769304611615,495.0537072675526,0.36726967943528543,[4937   63],Average Linkage
Systolic_BP + Diastolic_BP,2,0.5255747075971973,7.5585341346772585,0.32404205124520613,[4999    1],Single Linkage
Systolic_BP_CompleteLinkage,2,0.5212692134666955,6682.57000503593,0.5641966732829419,[1293 3707],Complete Linkage
Total_Cholesterol + LDL_Cholesterol + HDL_Cholesterol + Triglycerides,2,0.5205476429022199,109.46901842685553,0.7287727523149153,[4983   17],Average Linkage
Hemoglobin_AverageLinkage,2,0.5196964622757567,6927.0418177083275,0.5794875003511805,[3512 1488],Average Linkage
Creatinine_AverageLinkage,3,0.5167336201060377,4966.506260273636,0.5018864186240156,[2560   29 2411],Average Linkage
Respiratory_Rate_CompleteLinkage,3,0.5150564591739629,8136.378974849452,0.5386462902264181,[ 522 2987 1491],Complete Linkage
Diastolic_BP_AverageLinkage,3,0.5149840714402637,9467.347184954484,0.5597615327124746,[1812  720 2468],Average Linkage
BUN_AverageLinkage,3,0.5137244835225009,7977.888151130459,0.5321733737969968,[2428  312 2260],Average Linkage
Hemoglobin_SingleLinkage,3,0.5124248616456775,50.86363102841976,0.2983528431664732,[4988    7    5],Single Linkage
Blood_Glucose_AverageLinkage,3,0.5093059117441074,5322.856036165557,0.5051954852696863,[2960   63 1977],Average Linkage
BMI_AverageLinkage,3,0.5083626602563771,8788.69272138965,0.545933567198821,[ 439 1858 2703],Average Linkage
Respiratory_Rate_SingleLinkage,2,0.5079054143163081,880.2431524266007,0.4079419764433963,[4881  119],Single Linkage
Creatinine_CompleteLinkage,3,0.5050192968902742,6834.309033497112,0.5481906864172491,[2560  256 2184],Complete Linkage
Respiratory_Rate_AverageLinkage,3,0.5045232486130194,8083.278769324853,0.4921165951754833,[ 343 3127 1530],Average Linkage
BMI + Blood_Glucose + Systolic_BP + LDL_Cholesterol + Triglycerides,2,0.5020067043915888,6.88021192022386,0.3605282273557819,[4999    1],Single Linkage
Platelets_AverageLinkage,2,0.5011758339018308,765.489132886657,0.4249623408806208,[4890  110],Average Linkage
Hemoglobin_CompleteLinkage,3,0.5008875393419304,7233.984223581756,0.5414773969060246,[2469 2258  273],Complete Linkage
Platelets_AverageLinkage,3,0.49975680883346013,5769.896206811273,0.5386027498141465,[ 110 2519 2371],Average Linkage
WBC_CompleteLinkage,3,0.4989505329122314,6159.747695683247,0.546116284998758,[2626  197 2177],Complete Linkage
HbA1c_AverageLinkage,3,0.49697307593982015,5540.276448823298,0.5291964422769112,[3167  111 1722],Average Linkage
Waist_Circumference_CompleteLinkage,3,0.49602723946427485,6315.59314822358,0.541356294273596,[2706  233 2061],Complete Linkage
Platelets_CompleteLinkage,3,0.49583645022924855,5934.6053760600225,0.5457925406247179,[2660  153 2187],Complete Linkage
Systolic_BP_CompleteLinkage,3,0.4940406655838142,3478.747922804219,0.4964480472762381,[3707 1278   15],Complete Linkage
LDL_Cholesterol_CompleteLinkage,3,0.4932266396180717,6659.230843341709,0.5519072552150587,[2586  270 2144],Complete Linkage
Total_Cholesterol_CompleteLinkage,3,0.49031307749789665,4255.246176442422,0.507878228334487,[3335 1618   47],Complete Linkage
BMI_CompleteLinkage,3,0.48987270332053706,3985.137683461723,0.5025171653371387,[3498 1466   36],Complete Linkage
Diastolic_BP_CompleteLinkage,2,0.48949480017882396,5296.86560777664,0.5800195517903701,[3887 1113],Complete Linkage
Respiratory_Rate_CompleteLinkage,2,0.48826368814987736,3208.4729806771725,0.5038169288948008,[4478  522],Complete Linkage
Total_Cholesterol_AverageLinkage,3,0.4876453723392988,4926.019255721361,0.5102792335767807,[2943   42 2015],Average Linkage
Respiratory_Rate_AverageLinkage,2,0.48713471937808933,2212.5950902934824,0.4669586698293294,[4657  343],Average Linkage
HDL_Cholesterol_CompleteLinkage,3,0.485484797147107,8907.255981816828,0.5400693330082519,[ 658 3034 1308],Complete Linkage
Pulse_CompleteLinkage,3,0.480139892415133,8277.875355141214,0.5392121806888963,[ 702 1132 3166],Complete Linkage
HbA1c_CompleteLinkage,3,0.4737929091559819,6471.233924341049,0.5473300932759518,[ 448 3167 1385],Complete Linkage
Blood_Glucose_CompleteLinkage,3,0.47258787803060925,5526.994160689731,0.5425389145845622,[3256  307 1437],Complete Linkage
Systolic_BP_AverageLinkage,3,0.46952519483478616,2008.3705439061773,0.418588391256586,[4258    3  739],Average Linkage
Age_SingleLinkage,2,0.46901130208263486,819.1271784611738,0.3906136680685543,[4871  129],Single Linkage
HbA1c_CompleteLinkage,2,0.4686057624491931,2606.449636308689,0.4961595482494753,[4552  448],Complete Linkage
BMI_AverageLinkage,2,0.463411505593915,2465.5579381788625,0.5069602145289495,[4561  439],Average Linkage
Pulse_CompleteLinkage,2,0.4625886728065019,3465.505940640707,0.5386850531821202,[4298  702],Complete Linkage
HDL_Cholesterol_CompleteLinkage,2,0.46038219362635757,3388.22336310311,0.5325098961308435,[4342  658],Complete Linkage
BUN_CompleteLinkage,2,0.4596332177416089,1778.256115694138,0.4603183857150023,[4694  306],Complete Linkage
Waist_Circumference_AverageLinkage,3,0.4588918961341427,7064.166595910967,0.5433036628772452,[1400  425 3175],Average Linkage
Vitamin_D_CompleteLinkage,2,0.45748234785503245,2989.3046296813413,0.5278971844911576,[4435  565],Complete Linkage
HDL_Cholesterol_AverageLinkage,2,0.4550525904736692,1606.957897774059,0.4694579549853842,[4718  282],Average Linkage
Waist_Circumference_AverageLinkage,2,0.4479529711134128,2226.916034386905,0.5028790612183518,[4575  425],Average Linkage
Vitamin_D_CompleteLinkage,3,0.44699552060639525,7193.432486994628,0.5334746447265734,[ 565 3333 1102],Complete Linkage
Vitamin_D_AverageLinkage,3,0.43950891950024706,3980.112916457735,0.5024569512463724,[3570   57 1373],Average Linkage
LDL_Cholesterol_AverageLinkage,3,0.42978690519059093,1851.3690807974017,0.4364110085524933,[4286    2  712],Average Linkage
WBC_AverageLinkage,3,0.4187516261315792,2555.3017426983015,0.47045605137390556,[4110   31  859],Average Linkage
Respiratory_Rate_SingleLinkage,3,0.41874320113847124,1692.7093314270587,0.5111666458047548,[4478  119  403],Single Linkage
HDL_Cholesterol_AverageLinkage,3,0.39951610665489873,4561.8481375964,0.49881817397830686,[3801  282  917],Average Linkage
Diastolic_BP_SingleLinkage,3,0.398798938697987,118.04566888218532,0.28537408013327986,[4965    1   34],Single Linkage
BUN_CompleteLinkage,3,0.3979175682607282,4906.116808516569,0.5102504059043693,[3677  306 1017],Complete Linkage
Pulse_AverageLinkage,3,0.39767643901634264,1309.3058113541988,0.42048921358693575,[4525    4  471],Average Linkage
Systolic_BP + Diastolic_BP,2,0.37706242156947745,209.17110881090701,0.7721357200016581,[4943   57],Average Linkage
BMI + Blood_Glucose + LDL_Cholesterol + HDL_Cholesterol,2,0.3732659664675197,4.145166765344176,0.4644214467679677,[4999    1],Average Linkage
BMI + Blood_Glucose + LDL_Cholesterol + HDL_Cholesterol,2,0.3732659664675197,4.145166765344176,0.4644214467679677,[4999    1],Single Linkage
BMI + Blood_Glucose + Systolic_BP + LDL_Cholesterol + Triglycerides,2,0.36483395258458307,366.00389965355726,1.1182624807153796,[4871  129],Average Linkage
Systolic_BP + Diastolic_BP,2,0.31081644198034203,2440.543368910203,1.2547611159431344,[2665 2335],K-Means
BMI + Blood_Glucose + Systolic_BP + LDL_Cholesterol + Triglycerides,2,0.2750333099596248,512.4738421530448,1.4694836000933114,[4686  314],Complete Linkage
Age_SingleLinkage,3,0.2364347694188542,1217.4747282155424,0.397125770801342,[4564  129  307],Single Linkage
Systolic_BP + Diastolic_BP,2,0.23475038078929034,1184.1083093200384,1.1091624902494532,[4273  727],Complete Linkage
Total_Cholesterol + LDL_Cholesterol + HDL_Cholesterol + Triglycerides,2,0.16961622800293674,1000.2202226231676,2.0615932354207294,[2493 2507],K-Means
BMI + Blood_Glucose + LDL_Cholesterol + HDL_Cholesterol,2,0.16275465998613792,990.9973215345884,2.109253881640544,[2553 2447],K-Means
BMI + Blood_Glucose + Systolic_BP + LDL_Cholesterol + Triglycerides,2,0.13511661508625514,765.2396505502604,2.4019980717951253,[2514 2486],K-Means
BMI + Blood_Glucose + LDL_Cholesterol + HDL_Cholesterol,2,0.11458941704361862,625.6081718926731,2.5194547361517436,[3246 1754],Complete Linkage
Total_Cholesterol + LDL_Cholesterol + HDL_Cholesterol + Triglycerides,2,0.10359456002518955,617.4469604436176,2.364647906474401,[3451 1549],Complete Linkage
