metric,Average Linkage,Complete Linkage,K-Means,Single Linkage
Age_AverageLinkage,0.5636444277882623,,,
Age_CompleteLinkage,,0.5636444277882623,,
Age_KMeans,,,0.5670706974383869,
Age_SingleLinkage,,,,0.46901130208263486
BMI + Blood_Glucose + LDL_Cholesterol + HDL_Cholesterol,0.3732659664675197,0.11458941704361862,0.16275465998613792,0.3732659664675197
BMI + Blood_Glucose + Systolic_BP + LDL_Cholesterol + Triglycerides,0.36483395258458307,0.2750333099596248,0.13511661508625514,0.5020067043915888
BMI_AverageLinkage,0.5083626602563771,,,
BMI_CompleteLinkage,,0.5288850063391827,,
BMI_KMeans,,,0.5589547067959125,
BMI_SingleLinkage,,,,0.6533091870649097
BUN_AverageLinkage,0.5635974749816347,,,
BUN_CompleteLinkage,,0.4596332177416089,,
BUN_KMeans,,,0.5651150830075999,
BUN_SingleLinkage,,,,0.5787767360250292
Blood_Glucose_AverageLinkage,0.5267769304611615,,,
Blood_Glucose_CompleteLinkage,,0.5409188646330101,,
Blood_Glucose_KMeans,,,0.5628553171625249,
Blood_Glucose_SingleLinkage,,,,0.6245237382869887
Creatinine_AverageLinkage,0.5736954981267589,,,
Creatinine_CompleteLinkage,,0.5532369520740372,,
Creatinine_KMeans,,,0.5532369520740372,
Creatinine_SingleLinkage,,,,0.660562801493917
Diastolic_BP_AverageLinkage,0.5367056274905817,,,
Diastolic_BP_CompleteLinkage,,0.5323788181961171,,
Diastolic_BP_KMeans,,,0.5510140758137723,
Diastolic_BP_SingleLinkage,,,,0.6282451412883856
HDL_Cholesterol_AverageLinkage,0.4550525904736692,,,
HDL_Cholesterol_CompleteLinkage,,0.485484797147107,,
HDL_Cholesterol_KMeans,,,0.5588663768266665,
HDL_Cholesterol_SingleLinkage,,,,0.6156948961267694
HbA1c_AverageLinkage,0.5514216072088639,,,
HbA1c_CompleteLinkage,,0.4737929091559819,,
HbA1c_KMeans,,,0.5634278383456255,
HbA1c_SingleLinkage,,,,0.6448358235901209
Hemoglobin_AverageLinkage,0.5342275145682953,,,
Hemoglobin_CompleteLinkage,,0.5514593589924449,,
Hemoglobin_KMeans,,,0.5528501509183338,
Hemoglobin_SingleLinkage,,,,0.5626914298546905
LDL_Cholesterol_AverageLinkage,0.6473113922794428,,,
LDL_Cholesterol_CompleteLinkage,,0.5532163806964329,,
LDL_Cholesterol_KMeans,,,0.5548886241197332,
LDL_Cholesterol_SingleLinkage,,,,0.6473113922794428
Platelets_AverageLinkage,0.5011758339018308,,,
Platelets_CompleteLinkage,,0.5500155576621668,,
Platelets_KMeans,,,0.5511101643064165,
Platelets_SingleLinkage,,,,0.6489117517274365
Pulse_AverageLinkage,0.6104827708374916,,,
Pulse_CompleteLinkage,,0.480139892415133,,
Pulse_KMeans,,,0.5547201014660541,
Pulse_SingleLinkage,,,,0.6405556993868666
Respiratory_Rate_AverageLinkage,0.5045232486130194,,,
Respiratory_Rate_CompleteLinkage,,0.5150564591739629,,
Respiratory_Rate_KMeans,,,0.5822124996623835,
Respiratory_Rate_SingleLinkage,,,,0.5079054143163081
Systolic_BP + Diastolic_BP,0.37706242156947745,0.23475038078929034,0.31081644198034203,0.5255747075971973
Systolic_BP_AverageLinkage,0.6668824764056475,,,
Systolic_BP_CompleteLinkage,,0.5212692134666955,,
Systolic_BP_KMeans,,,0.559075095025951,
Systolic_BP_SingleLinkage,,,,0.6668824764056475
Total_Cholesterol + LDL_Cholesterol + HDL_Cholesterol + Triglycerides,0.5205476429022199,0.10359456002518955,0.16961622800293674,0.5473760485228392
Total_Cholesterol_AverageLinkage,0.5320514081904758,,,
Total_Cholesterol_CompleteLinkage,,0.5346684837238025,,
Total_Cholesterol_KMeans,,,0.551104035900654,
Total_Cholesterol_SingleLinkage,,,,0.6342259019793617
Triglycerides_AverageLinkage,0.7423822762908788,,,
Triglycerides_CompleteLinkage,,0.6969221627629146,,
Triglycerides_KMeans,,,0.6842700264941793,
Triglycerides_SingleLinkage,,,,0.7866254433339055
Vitamin_D_AverageLinkage,0.5292733547611908,,,
Vitamin_D_CompleteLinkage,,0.45748234785503245,,
Vitamin_D_KMeans,,,0.5615045096831481,
Vitamin_D_SingleLinkage,,,,0.6689819454169527
WBC_AverageLinkage,0.5633657569344165,,,
WBC_CompleteLinkage,,0.5510830382609028,,
WBC_KMeans,,,0.5510830382609028,
WBC_SingleLinkage,,,,0.6664398380127549
Waist_Circumference_AverageLinkage,0.4588918961341427,,,
Waist_Circumference_CompleteLinkage,,0.554230720740215,,
Waist_Circumference_KMeans,,,0.5570722550331768,
Waist_Circumference_SingleLinkage,,,,0.6204299070677869
